codigo;municipio;cor;valor_pct;Sigla
2100055;Açailândia;Preta;7.97;MA
2100055;Açailândia;Parda;64.88;MA
2100105;Afonso Cunha;Preta;6.68;MA
2100105;Afonso Cunha;Parda;79.93;MA
2100154;Água Doce do Maranhão;Preta;1.67;MA
2100154;Água Doce do Maranhão;Parda;75.22;MA
2100204;Alcântara;Preta;24.45;MA
2100204;Alcântara;Parda;60.79;MA
2100303;Aldeias Altas;Preta;9.39;MA
2100303;Aldeias Altas;Parda;75.22;MA
2100402;Altamira do Maranhão;Preta;3.94;MA
2100402;Altamira do Maranhão;Parda;75.46;MA
2100436;Alto Alegre do Maranhão;Preta;7.71;MA
2100436;Alto Alegre do Maranhão;Parda;76.86;MA
2100477;Alto Alegre do Pindaré;Preta;9.84;MA
2100477;Alto Alegre do Pindaré;Parda;73.23;MA
2100501;Alto Parnaíba;Preta;7.45;MA
2100501;Alto Parnaíba;Parda;78.03;MA
2100550;Amapá do Maranhão;Preta;3.95;MA
2100550;Amapá do Maranhão;Parda;78.52;MA
2100600;Amarante do Maranhão;Preta;4.41;MA
2100600;Amarante do Maranhão;Parda;64.09;MA
2100709;Anajatuba;Preta;4.66;MA
2100709;Anajatuba;Parda;60.42;MA
2100808;Anapurus;Preta;4.1;MA
2100808;Anapurus;Parda;79.09;MA
2100832;Apicum-Açu;Preta;12.93;MA
2100832;Apicum-Açu;Parda;69.8;MA
2100873;Araguanã;Preta;13.3;MA
2100873;Araguanã;Parda;68.45;MA
2100907;Araioses;Preta;6.08;MA
2100907;Araioses;Parda;71.97;MA
2100956;Arame;Preta;7.55;MA
2100956;Arame;Parda;60.56;MA
2101004;Arari;Preta;7.54;MA
2101004;Arari;Parda;57.82;MA
2101103;Axixá;Preta;10.48;MA
2101103;Axixá;Parda;74.08;MA
2101202;Bacabal;Preta;13.95;MA
2101202;Bacabal;Parda;60.58;MA
2101251;Bacabeira;Preta;8.38;MA
2101251;Bacabeira;Parda;66.25;MA
2101301;Bacuri;Preta;27.56;MA
2101301;Bacuri;Parda;58.61;MA
2101350;Bacurituba;Preta;30.53;MA
2101350;Bacurituba;Parda;61.63;MA
2101400;Balsas;Preta;8.18;MA
2101400;Balsas;Parda;67.71;MA
2101509;Barão de Grajaú;Preta;9.88;MA
2101509;Barão de Grajaú;Parda;67.56;MA
2101608;Barra do Corda;Preta;6.01;MA
2101608;Barra do Corda;Parda;65.09;MA
2101707;Barreirinhas;Preta;4.34;MA
2101707;Barreirinhas;Parda;77.38;MA
2101731;Belágua;Preta;5.58;MA
2101731;Belágua;Parda;76.1;MA
2101772;Bela Vista do Maranhão;Preta;9.46;MA
2101772;Bela Vista do Maranhão;Parda;63.87;MA
2101806;Benedito Leite;Preta;5.17;MA
2101806;Benedito Leite;Parda;67.48;MA
2101905;Bequimão;Preta;18.76;MA
2101905;Bequimão;Parda;43.32;MA
2101939;Bernardo do Mearim;Preta;6.19;MA
2101939;Bernardo do Mearim;Parda;62.64;MA
2101970;Boa Vista do Gurupi;Preta;6.1;MA
2101970;Boa Vista do Gurupi;Parda;79.65;MA
2102002;Bom Jardim;Preta;8.55;MA
2102002;Bom Jardim;Parda;70.65;MA
2102036;Bom Jesus das Selvas;Preta;7.58;MA
2102036;Bom Jesus das Selvas;Parda;74.41;MA
2102077;Bom Lugar;Preta;7.29;MA
2102077;Bom Lugar;Parda;67.53;MA
2102101;Brejo;Preta;9.0;MA
2102101;Brejo;Parda;71.51;MA
2102150;Brejo de Areia;Preta;4.17;MA
2102150;Brejo de Areia;Parda;75.77;MA
2102200;Buriti;Preta;6.11;MA
2102200;Buriti;Parda;76.27;MA
2102309;Buriti Bravo;Preta;13.9;MA
2102309;Buriti Bravo;Parda;68.36;MA
2102325;Buriticupu;Preta;6.1;MA
2102325;Buriticupu;Parda;71.6;MA
2102358;Buritirana;Preta;4.96;MA
2102358;Buritirana;Parda;72.47;MA
2102374;Cachoeira Grande;Preta;4.01;MA
2102374;Cachoeira Grande;Parda;75.43;MA
2102408;Cajapió;Preta;7.52;MA
2102408;Cajapió;Parda;78.25;MA
2102507;Cajari;Preta;6.93;MA
2102507;Cajari;Parda;78.19;MA
2102556;Campestre do Maranhão;Preta;5.42;MA
2102556;Campestre do Maranhão;Parda;69.57;MA
2102606;Cândido Mendes;Preta;7.64;MA
2102606;Cândido Mendes;Parda;72.44;MA
2102705;Cantanhede;Preta;6.6;MA
2102705;Cantanhede;Parda;80.63;MA
2102754;Capinzal do Norte;Preta;7.86;MA
2102754;Capinzal do Norte;Parda;70.35;MA
2102804;Carolina;Preta;6.76;MA
2102804;Carolina;Parda;67.2;MA
2102903;Carutapera;Preta;2.99;MA
2102903;Carutapera;Parda;79.23;MA
2103000;Caxias;Preta;12.95;MA
2103000;Caxias;Parda;68.09;MA
2103109;Cedral;Preta;5.87;MA
2103109;Cedral;Parda;76.68;MA
2103125;Central do Maranhão;Preta;28.9;MA
2103125;Central do Maranhão;Parda;60.36;MA
2103158;Centro do Guilherme;Preta;9.93;MA
2103158;Centro do Guilherme;Parda;67.74;MA
