Sigla;codigo;municipio;anos_estudo
AC;1200013;Acrelândia;7.35
AC;1200054;Assis Brasil;7.08
AC;1200104;Brasiléia;7.42
AC;1200138;Bujari;8.59
AC;1200179;Capixaba;7.47
AC;1200203;Cruzeiro do Sul;9.13
AC;1200252;Epitaciolândia;8.85
AC;1200302;Feijó;7.03
AC;1200328;Jordão;5.73
AC;1200336;Mâncio Lima;9.49
AC;1200344;Manoel Urbano;5.88
AC;1200351;Marechal Thaumaturgo;7.52
AC;1200385;Plácido de Castro;8.72
AC;1200393;Porto Walter;7.79
AC;1200401;Rio Branco;9.72
AC;1200427;Rodrigues Alves;8.51
AC;1200435;Santa Rosa do Purus;4.72
AC;1200450;Senador Guiomard;8.79
AC;1200500;Sena Madureira;7.56
AC;1200609;Tarauacá;7.19
AC;1200708;Xapuri;7.66
AC;1200807;Porto Acre;8.35
AL;2700102;Água Branca;8.66
AL;2700201;Anadia;8.64
AL;2700300;Arapiraca;9.61
AL;2700409;Atalaia;8.29
AL;2700508;Barra de Santo Antônio;8.25
AL;2700607;Barra de São Miguel;8.46
AL;2700706;Batalha;8.54
AL;2700805;Belém;9.35
AL;2700904;Belo Monte;8.22
AL;2701001;Boca da Mata;9.95
AL;2701100;Branquinha;8.04
AL;2701209;Cacimbinhas;9.13
AL;2701308;Cajueiro;8.78
AL;2701357;Campestre;8.59
AL;2701407;Campo Alegre;7.74
AL;2701506;Campo Grande;8.57
AL;2701605;Canapi;8.44
AL;2701704;Capela;8.7
AL;2701803;Carneiros;7.85
AL;2701902;Chã Preta;9.62
AL;2702009;Coité do Nóia;9.33
AL;2702108;Colônia Leopoldina;7.11
AL;2702207;Coqueiro Seco;9.76
AL;2702306;Coruripe;10.04
AL;2702355;Craíbas;8.82
AL;2702405;Delmiro Gouveia;8.67
AL;2702504;Dois Riachos;8.41
AL;2702553;Estrela de Alagoas;9.42
AL;2702603;Feira Grande;8.94
AL;2702702;Feliz Deserto;9.08
AL;2702801;Flexeiras;8.75
AL;2702900;Girau do Ponciano;9.09
AL;2703007;Ibateguara;8.19
AL;2703106;Igaci;9.64
AL;2703205;Igreja Nova;7.72
AL;2703304;Inhapi;7.47
AL;2703403;Jacaré dos Homens;8.75
AL;2703502;Jacuípe;8.8
AL;2703601;Japaratinga;8.95
AL;2703700;Jaramataia;8.63
AL;2703759;Jequiá da Praia;9.05
AL;2703809;Joaquim Gomes;8.37
AL;2703908;Jundiá;8.7
AL;2704005;Junqueiro;9.16
AL;2704104;Lagoa da Canoa;9.37
AL;2704203;Limoeiro de Anadia;8.44
AL;2704302;Maceió;9.43
AL;2704401;Major Isidoro;8.92
AL;2704500;Maragogi;8.24
AL;2704609;Maravilha;9.1
AL;2704708;Marechal Deodoro;9.14
AL;2704807;Maribondo;9.65
AL;2704906;Mar Vermelho;9.44
AL;2705002;Mata Grande;8.38
AL;2705101;Matriz de Camaragibe;9.53
AL;2705200;Messias;8.76
AL;2705309;Minador do Negrão;8.95
AL;2705408;Monteirópolis;9.46
AL;2705507;Murici;8.16
AL;2705606;Novo Lino;8.11
AL;2705705;Olho d'Água das Flores;8.66
AL;2705804;Olho d'Água do Casado;7.93
AL;2705903;Olho d'Água Grande;9.34
AL;2706000;Olivença;9.08
AL;2706109;Ouro Branco;8.27
AL;2706208;Palestina;9.77
AL;2706307;Palmeira dos Índios;9.72
AL;2706406;Pão de Açúcar;10.37
AL;2706422;Pariconha;9.48
AL;2706448;Paripueira;8.82
AL;2706505;Passo de Camaragibe;8.55
AL;2706604;Paulo Jacinto;9.9
AL;2706703;Penedo;9.45
AL;2706802;Piaçabuçu;9.2
AL;2706901;Pilar;8.3
AL;2707008;Pindoba;10.18
AL;2707107;Piranhas;8.65
AL;2707206;Poço das Trincheiras;9.29
AL;2707305;Porto Calvo;8.5
AL;2707404;Porto de Pedras;8.02
AL;2707503;Porto Real do Colégio;8.49
AL;2707602;Quebrangulo;8.99
AL;2707701;Rio Largo;9.45
AL;2707800;Roteiro;8.35
AL;2707909;Santa Luzia do Norte;10.08
AL;2708006;Santana do Ipanema;8.75
AL;2708105;Santana do Mundaú;7.83
AL;2708204;São Brás;10.12
AL;2708303;São José da Laje;8.8
AL;2708402;São José da Tapera;8.63
AL;2708501;São Luís do Quitunde;7.97
AL;2708600;São Miguel dos Campos;9.02
AL;2708709;São Miguel dos Milagres;9.39
AL;2708808;São Sebastião;8.96
AL;2708907;Satuba;9.14
AL;2708956;Senador Rui Palmeira;9.02
AL;2709004;Tanque d'Arca;9.29
AL;2709103;Taquarana;9.74
AL;2709152;Teotônio Vilela;10.24
AL;2709202;Traipu;7.87
AL;2709301;União dos Palmares;8.83
AL;2709400;Viçosa;9.69
AM;1300029;Alvarães;5.96
AM;1300060;Amaturá;7.18
AM;1300086;Anamã;8.65
AM;1300102;Anori;7.27
AM;1300144;Apuí;8.74
AM;1300201;Atalaia do Norte;4.63
AM;1300300;Autazes;8.11
AM;1300409;Barcelos;4.34
AM;1300508;Barreirinha;8.21
AM;1300607;Benjamin Constant;8.79
