Sigla;codigo;municipio;taxa_analfabetismo
AL;2700102;Água Branca;30.92
AL;2700201;Anadia;36.16
AL;2700300;Arapiraca;22.45
AL;2700409;Atalaia;33.57
AL;2700508;Barra de Santo Antônio;27.94
AL;2700607;Barra de São Miguel;23.71
AL;2700706;Batalha;30.84
AL;2700805;Belém;33.33
AL;2700904;Belo Monte;38.11
AL;2701001;Boca da Mata;27.32
AL;2701100;Branquinha;41.58
AL;2701209;Cacimbinhas;40.61
AL;2701308;Cajueiro;33.86
AL;2701357;Campestre;32.41
AL;2701407;Campo Alegre;27.41
AL;2701506;Campo Grande;39.27
AL;2701605;Canapi;40.35
AL;2701704;Capela;31.98
AL;2701803;Carneiros;29.96
AL;2701902;Chã Preta;35.51
AL;2702009;Coité do Nóia;38.95
AL;2702108;Colônia Leopoldina;34.59
AL;2702207;Coqueiro Seco;28.23
AL;2702306;Coruripe;23.9
AL;2702355;Craíbas;39.67
AL;2702405;Delmiro Gouveia;23.35
AL;2702504;Dois Riachos;39.13
AL;2702553;Estrela de Alagoas;40.47
AL;2702603;Feira Grande;38.76
AL;2702702;Feliz Deserto;33.5
AL;2702801;Flexeiras;32.2
AL;2702900;Girau do Ponciano;35.97
AL;2703007;Ibateguara;38.75
AL;2703106;Igaci;38.08
AL;2703205;Igreja Nova;36.97
AL;2703304;Inhapi;40.36
AL;2703403;Jacaré dos Homens;28.12
AL;2703502;Jacuípe;30.82
AL;2703601;Japaratinga;29.67
AL;2703700;Jaramataia;39.17
AL;2703759;Jequiá da Praia;28.14
AL;2703809;Joaquim Gomes;39.68
AL;2703908;Jundiá;33.73
AL;2704005;Junqueiro;32.26
AL;2704104;Lagoa da Canoa;38.38
AL;2704203;Limoeiro de Anadia;35.1
AL;2704302;Maceió;11.86
AL;2704401;Major Isidoro;35.91
AL;2704500;Maragogi;29.35
AL;2704609;Maravilha;30.08
AL;2704708;Marechal Deodoro;21.9
AL;2704807;Maribondo;29.69
AL;2704906;Mar Vermelho;29.99
AL;2705002;Mata Grande;38.79
AL;2705101;Matriz de Camaragibe;31.47
AL;2705200;Messias;29.9
AL;2705309;Minador do Negrão;43.89
AL;2705408;Monteirópolis;37.49
AL;2705507;Murici;30.65
AL;2705606;Novo Lino;36.14
AL;2705705;Olho d'Água das Flores;29.22
AL;2705804;Olho d'Água do Casado;35.08
AL;2705903;Olho d'Água Grande;41.97
AL;2706000;Olivença;36.66
AL;2706109;Ouro Branco;30.53
AL;2706208;Palestina;34.56
AL;2706307;Palmeira dos Índios;24.41
AL;2706406;Pão de Açúcar;30.72
AL;2706422;Pariconha;31.96
AL;2706448;Paripueira;24.19
AL;2706505;Passo de Camaragibe;32.23
AL;2706604;Paulo Jacinto;32,00
AL;2706703;Penedo;22.83
AL;2706802;Piaçabuçu;31.77
AL;2706901;Pilar;24.48
AL;2707008;Pindoba;35.29
AL;2707107;Piranhas;30.49
AL;2707206;Poço das Trincheiras;33.63
AL;2707305;Porto Calvo;28.44
AL;2707404;Porto de Pedras;32.26
AL;2707503;Porto Real do Colégio;34.46
AL;2707602;Quebrangulo;32.23
AL;2707701;Rio Largo;18.28
AL;2707800;Roteiro;38.03
AL;2707909;Santa Luzia do Norte;23.13
AL;2708006;Santana do Ipanema;28.94
AL;2708105;Santana do Mundaú;38.72
AL;2708204;São Brás;34.7
AL;2708303;São José da Laje;31.13
AL;2708402;São José da Tapera;37.04
AL;2708501;São Luís do Quitunde;33.85
AL;2708600;São Miguel dos Campos;21.28
AL;2708709;São Miguel dos Milagres;28.59
AL;2708808;São Sebastião;37.41
AL;2708907;Satuba;18.53
AL;2708956;Senador Rui Palmeira;36.65
AL;2709004;Tanque d'Arca;38.52
AL;2709103;Taquarana;37.95
AL;2709152;Teotônio Vilela;28.87
AL;2709202;Traipu;42.69
AL;2709301;União dos Palmares;31.62
AL;2709400;Viçosa;33.47
BA;2900108;Abaíra;19.45
BA;2900207;Abaré;26.85
BA;2900306;Acajutiba;22.31
BA;2900355;Adustina;35.53
BA;2900405;Água Fria;27.26
BA;2900504;Érico Cardoso;30.27
BA;2900603;Aiquara;23.76
BA;2900702;Alagoinhas;10.11
BA;2900801;Alcobaça;23.59
BA;2900900;Almadina;31.82
BA;2901007;Amargosa;20.85
BA;2901106;Amélia Rodrigues;13.22
BA;2901155;América Dourada;27.53
BA;2901205;Anagé;33.89
BA;2901304;Andaraí;26.56
BA;2901353;Andorinha;25.71
BA;2901403;Angical;24.54
BA;2901502;Anguera;22.7
BA;2901601;Antas;28.33
BA;2901700;Antônio Cardoso;29.07
BA;2901809;Antônio Gonçalves;19.72
BA;2901908;Aporá;27.81
BA;2901957;Apuarema;31.03
BA;2902005;Aracatu;29.35
BA;2902054;Araças;23.15
BA;2902104;Araci;34.37
BA;2902203;Aramari;19.58
BA;2902252;Arataca;31.58
BA;2902302;Aratuípe;24.62
BA;2902401;Aurelino Leal;26.72
BA;2902500;Baianópolis;30.64
BA;2902609;Baixa Grande;25.56
BA;2902658;Banzaê;26.34
BA;2902708;Barra;23.54
BA;2902807;Barra da Estiva;18.03
BA;2902906;Barra do Choça;27.71
BA;2903003;Barra do Mendes;14.72
BA;2903102;Barra do Rocha;26.79
BA;2903201;Barreiras;10.33
BA;2903235;Barro Alto;18.21
BA;2903276;Barrocas;19.7
BA;2903300;Governador Lomanto Júnior;26.18
BA;2903409;Belmonte;24.76
BA;2903508;Belo Campo;26.12
BA;2903607;Biritinga;26.14
BA;2903706;Boa Nova;31.7
BA;2903805;Boa Vista do Tupim;30.3
BA;2903904;Bom Jesus da Lapa;19.18
BA;2903953;Bom Jesus da Serra;27.15
BA;2904001;Boninal;22.02
BA;2904050;Bonito;20.32
BA;2904100;Boquira;25.81
BA;2904209;Botuporã;26.32
BA;2904308;Brejões;24.27
BA;2904407;Brejolândia;26.31
BA;2904506;Brotas de Macaúbas;21.22
BA;2904605;Brumado;16.28
BA;2904704;Buerarema;23.1
BA;2904753;Buritirama;26.05
BA;2904803;Caatiba;30,00
BA;2904852;Cabaceiras do Paraguaçu;26.5
BA;2904902;Cachoeira;16.01
BA;2905008;Caculé;20.17
BA;2905107;Caém;25.16
BA;2905156;Caetanos;27.04
BA;2905206;Caetité;20.42
BA;2905305;Cafarnaum;21.82
BA;2905404;Cairu;15.53
BA;2905503;Caldeirão Grande;29.26
BA;2905602;Camacan;22.82
BA;2905701;Camaçari;7.78
BA;2905800;Camamu;26.65
BA;2905909;Campo Alegre de Lourdes;27.96
BA;2906006;Campo Formoso;24.55
BA;2906105;Canápolis;30.9
BA;2906204;Canarana;19.01
BA;2906303;Canavieiras;19.62
BA;2906402;Candeal;25.73
BA;2906501;Candeias;9.08
BA;2906600;Candiba;25.63
BA;2906709;Cândido Sales;26.08
BA;2906808;Cansanção;28.93
BA;2906824;Canudos;25.23
BA;2906857;Capela do Alto Alegre;27.98
BA;2906873;Capim Grosso;20.75
BA;2906899;Caraíbas;32.86
BA;2906907;Caravelas;24.95
BA;2907004;Cardeal da Silva;23.01
BA;2907103;Carinhanha;25.91
BA;2907202;Casa Nova;24.86
BA;2907301;Castro Alves;22.66
BA;2907400;Catolândia;25.58
