tx_desemprego;Sigla;codigo;municipio
10.96;MA;2100055;Açailândia
12.99;MA;2100105;Afonso Cunha
7.2;MA;2100154;Água Doce do Maranhão
7.28;MA;2100204;Alcântara
10.58;MA;2100303;Aldeias Altas
6.18;MA;2100402;Altamira do Maranhão
11.51;MA;2100436;Alto Alegre do Maranhão
9.51;MA;2100477;Alto Alegre do Pindaré
13.4;MA;2100501;Alto Parnaíba
9.4;MA;2100550;Amapá do Maranhão
5.42;MA;2100600;Amarante do Maranhão
8.7;MA;2100709;Anajatuba
7.66;MA;2100808;Anapurus
3.07;MA;2100832;Apicum-Açu
5.5;MA;2100873;Araguanã
7.33;MA;2100907;Araioses
7.71;MA;2100956;Arame
6.88;MA;2101004;Arari
5.91;MA;2101103;Axixá
8.25;MA;2101202;Bacabal
10.02;MA;2101251;Bacabeira
7.31;MA;2101301;Bacuri
7.5;MA;2101350;Bacurituba
6.88;MA;2101400;Balsas
7.34;MA;2101509;Barão de Grajaú
7.42;MA;2101608;Barra do Corda
6.41;MA;2101707;Barreirinhas
4.56;MA;2101731;Belágua
8.42;MA;2101772;Bela Vista do Maranhão
12.77;MA;2101806;Benedito Leite
6.22;MA;2101905;Bequimão
3.77;MA;2101939;Bernardo do Mearim
6.98;MA;2101970;Boa Vista do Gurupi
4.95;MA;2102002;Bom Jardim
13.64;MA;2102036;Bom Jesus das Selvas
22.44;MA;2102077;Bom Lugar
7.27;MA;2102101;Brejo
6.74;MA;2102150;Brejo de Areia
7.55;MA;2102200;Buriti
6.57;MA;2102309;Buriti Bravo
9.46;MA;2102325;Buriticupu
5.42;MA;2102358;Buritirana
5.93;MA;2102374;Cachoeira Grande
9.23;MA;2102408;Cajapió
3.87;MA;2102507;Cajari
9.12;MA;2102556;Campestre do Maranhão
3.81;MA;2102606;Cândido Mendes
12.31;MA;2102705;Cantanhede
4.11;MA;2102754;Capinzal do Norte
5.04;MA;2102804;Carolina
7.74;MA;2102903;Carutapera
7.46;MA;2103000;Caxias
5.81;MA;2103109;Cedral
3.53;MA;2103125;Central do Maranhão
4.8;MA;2103158;Centro do Guilherme
10.03;MA;2103174;Centro Novo do Maranhão
7.62;MA;2103208;Chapadinha
5.95;MA;2103257;Cidelândia
8.2;MA;2103307;Codó
10.89;MA;2103406;Coelho Neto
6.96;MA;2103505;Colinas
2.18;MA;2103554;Conceição do Lago-Açu
8.21;MA;2103604;Coroatá
5.39;MA;2103703;Cururupu
6.3;MA;2103752;Davinópolis
5.8;MA;2103802;Dom Pedro
7.12;MA;2103901;Duque Bacelar
13.47;MA;2104008;Esperantinópolis
5.79;MA;2104057;Estreito
5.43;MA;2104073;Feira Nova do Maranhão
10.89;MA;2104081;Fernando Falcão
8.79;MA;2104099;Formosa da Serra Negra
9.15;MA;2104107;Fortaleza dos Nogueiras
5.09;MA;2104206;Fortuna
11.05;MA;2104305;Godofredo Viana
4.0;MA;2104404;Gonçalves Dias
6.85;MA;2104503;Governador Archer
11.48;MA;2104552;Governador Edison Lobão
4.35;MA;2104602;Governador Eugênio Barros
3.95;MA;2104628;Governador Luiz Rocha
9.69;MA;2104651;Governador Newton Bello
9.34;MA;2104677;Governador Nunes Freire
8.38;MA;2104701;Graça Aranha
7.08;MA;2104800;Grajaú
4.02;MA;2104909;Guimarães
10.18;MA;2105005;Humberto de Campos
12.79;MA;2105104;Icatu
9.28;MA;2105153;Igarapé do Meio
4.51;MA;2105203;Igarapé Grande
7.87;MA;2105302;Imperatriz
12.04;MA;2105351;Itaipava do Grajaú
6.27;MA;2105401;Itapecuru Mirim
8.58;MA;2105427;Itinga do Maranhão
8.02;MA;2105450;Jatobá
3.63;MA;2105476;Jenipapo dos Vieiras
7.32;MA;2105500;João Lisboa
2.2;MA;2105609;Joselândia
3.36;MA;2105658;Junco do Maranhão
6.78;MA;2105708;Lago da Pedra
6.95;MA;2105807;Lago do Junco
4.32;MA;2105906;Lago Verde
5.58;MA;2105922;Lagoa do Mato
2.19;MA;2105948;Lago dos Rodrigues
5.7;MA;2105963;Lagoa Grande do Maranhão
5.99;MA;2105989;Lajeado Novo
2.69;MA;2106003;Lima Campos
5.81;MA;2106102;Loreto
3.23;MA;2106201;Luís Domingues
11.29;MA;2106300;Magalhães de Almeida
11.12;MA;2106326;Maracaçumé
13.78;MA;2106359;Marajá do Sena
10.98;MA;2106375;Maranhãozinho
8.01;MA;2106409;Mata Roma
6.95;MA;2106508;Matinha
4.16;MA;2106607;Matões
15.18;MA;2106631;Matões do Norte
9.77;MA;2106672;Milagres do Maranhão
5.2;MA;2106706;Mirador
10.68;MA;2106755;Miranda do Norte
7.73;MA;2106805;Mirinzal
4.43;MA;2106904;Monção
12.31;MA;2107001;Montes Altos
5.96;MA;2107100;Morros
7.26;MA;2107209;Nina Rodrigues
9.21;MA;2107258;Nova Colinas
