Sigla;codigo;municipio;esperanca_vida
AL;2700102;Água Branca;68.7
AL;2700201;Anadia;70.35
AL;2700300;Arapiraca;71.82
AL;2700409;Atalaia;70.13
AL;2700508;Barra de Santo Antônio;68.9
AL;2700607;Barra de São Miguel;71.02
AL;2700706;Batalha;70.1
AL;2700805;Belém;70.86
AL;2700904;Belo Monte;68.49
AL;2701001;Boca da Mata;70.47
AL;2701100;Branquinha;66.96
AL;2701209;Cacimbinhas;66.82
AL;2701308;Cajueiro;66.45
AL;2701357;Campestre;68.73
AL;2701407;Campo Alegre;69.5
AL;2701506;Campo Grande;69.35
AL;2701605;Canapi;68.11
AL;2701704;Capela;69.59
AL;2701803;Carneiros;67.56
AL;2701902;Chã Preta;69.22
AL;2702009;Coité do Nóia;68.8
AL;2702108;Colônia Leopoldina;66.55
AL;2702207;Coqueiro Seco;70.4
AL;2702306;Coruripe;71.12
AL;2702355;Craíbas;66.22
AL;2702405;Delmiro Gouveia;71.42
AL;2702504;Dois Riachos;70.74
AL;2702553;Estrela de Alagoas;68.19
AL;2702603;Feira Grande;69.17
AL;2702702;Feliz Deserto;67.46
AL;2702801;Flexeiras;66.59
AL;2702900;Girau do Ponciano;70.72
AL;2703007;Ibateguara;66.06
AL;2703106;Igaci;71.45
AL;2703205;Igreja Nova;71.23
AL;2703304;Inhapi;68.09
AL;2703403;Jacaré dos Homens;70.54
AL;2703502;Jacuípe;70.32
AL;2703601;Japaratinga;69.1
AL;2703700;Jaramataia;67.08
AL;2703759;Jequiá da Praia;71.32
AL;2703809;Joaquim Gomes;70.82
AL;2703908;Jundiá;67.9
AL;2704005;Junqueiro;67.85
AL;2704104;Lagoa da Canoa;67.16
AL;2704203;Limoeiro de Anadia;69.51
AL;2704302;Maceió;72.94
AL;2704401;Major Isidoro;70.31
AL;2704500;Maragogi;70.96
AL;2704609;Maravilha;69.54
AL;2704708;Marechal Deodoro;72.55
AL;2704807;Maribondo;70.07
AL;2704906;Mar Vermelho;70.97
AL;2705002;Mata Grande;66.09
AL;2705101;Matriz de Camaragibe;71.62
AL;2705200;Messias;67.82
AL;2705309;Minador do Negrão;71
AL;2705408;Monteirópolis;67.57
AL;2705507;Murici;66.11
AL;2705606;Novo Lino;66.38
AL;2705705;Olho d'Água das Flores;70.13
AL;2705804;Olho d'Água do Casado;72.09
AL;2705903;Olho d'Água Grande;65.4
AL;2706000;Olivença;65.63
AL;2706109;Ouro Branco;66.99
AL;2706208;Palestina;69.08
AL;2706307;Palmeira dos Índios;72.61
AL;2706406;Pão de Açúcar;72.58
AL;2706422;Pariconha;70.23
AL;2706448;Paripueira;71
AL;2706505;Passo de Camaragibe;67.19
AL;2706604;Paulo Jacinto;68.94
AL;2706703;Penedo;71.42
AL;2706802;Piaçabuçu;68.59
AL;2706901;Pilar;71.26
AL;2707008;Pindoba;67.16
AL;2707107;Piranhas;72.14
AL;2707206;Poço das Trincheiras;68.12
AL;2707305;Porto Calvo;68.36
AL;2707404;Porto de Pedras;71.14
AL;2707503;Porto Real do Colégio;70.46
AL;2707602;Quebrangulo;71.52
AL;2707701;Rio Largo;72.25
AL;2707800;Roteiro;65.3
AL;2707909;Santa Luzia do Norte;71.17
AL;2708006;Santana do Ipanema;71.17
AL;2708105;Santana do Mundaú;70.13
AL;2708204;São Brás;68.93
AL;2708303;São José da Laje;70.28
AL;2708402;São José da Tapera;67.2
AL;2708501;São Luís do Quitunde;67.05
AL;2708600;São Miguel dos Campos;71.21
AL;2708709;São Miguel dos Milagres;70.14
AL;2708808;São Sebastião;67.81
AL;2708907;Satuba;72.62
AL;2708956;Senador Rui Palmeira;68.67
AL;2709004;Tanque d'Arca;69.85
AL;2709103;Taquarana;67.61
AL;2709152;Teotônio Vilela;67.01
AL;2709202;Traipu;70.92
AL;2709301;União dos Palmares;70.83
AL;2709400;Viçosa;70.46
BA;2900108;Abaíra;69.76
BA;2900207;Abaré;71.55
BA;2900306;Acajutiba;68.39
BA;2900355;Adustina;68.07
BA;2900405;Água Fria;69.79
BA;2900504;Érico Cardoso;70.47
BA;2900603;Aiquara;69
BA;2900702;Alagoinhas;72.39
BA;2900801;Alcobaça;71.28
BA;2900900;Almadina;70.07
BA;2901007;Amargosa;73.4
BA;2901106;Amélia Rodrigues;73.59
BA;2901155;América Dourada;70.05
BA;2901205;Anagé;71.27
BA;2901304;Andaraí;70.84
BA;2901353;Andorinha;68.88
BA;2901403;Angical;71.67
BA;2901502;Anguera;70.94
BA;2901601;Antas;69.35
BA;2901700;Antônio Cardoso;71.06
BA;2901809;Antônio Gonçalves;69.45
BA;2901908;Aporá;70.05
BA;2901957;Apuarema;69.09
