Sigla;codigo;municipio;IDH
BA;2900108;Abaíra;0.603
BA;2900207;Abaré;0.575
BA;2900306;Acajutiba;0.582
BA;2900355;Adustina;0.546
BA;2900405;Água Fria;0.55
BA;2900504;Érico Cardoso;0.584
BA;2900603;Aiquara;0.583
BA;2900702;Alagoinhas;0.683
BA;2900801;Alcobaça;0.608
BA;2900900;Almadina;0.563
BA;2901007;Amargosa;0.625
BA;2901106;Amélia Rodrigues;0.666
BA;2901155;América Dourada;0.561
BA;2901205;Anagé;0.54
BA;2901304;Andaraí;0.555
BA;2901353;Andorinha;0.588
BA;2901403;Angical;0.625
BA;2901502;Anguera;0.589
BA;2901601;Antas;0.592
BA;2901700;Antônio Cardoso;0.561
BA;2901809;Antônio Gonçalves;0.598
BA;2901908;Aporá;0.548
BA;2901957;Apuarema;0.552
BA;2902005;Aracatu;0.581
BA;2902054;Araças;0.57
BA;2902104;Araci;0.534
BA;2902203;Aramari;0.588
BA;2902252;Arataca;0.559
BA;2902302;Aratuípe;0.575
BA;2902401;Aurelino Leal;0.568
BA;2902500;Baianópolis;0.589
BA;2902609;Baixa Grande;0.585
BA;2902658;Banzaê;0.579
BA;2902708;Barra;0.557
BA;2902807;Barra da Estiva;0.575
BA;2902906;Barra do Choça;0.551
BA;2903003;Barra do Mendes;0.63
BA;2903102;Barra do Rocha;0.577
BA;2903201;Barreiras;0.721
BA;2903235;Barro Alto;0.607
BA;2903276;Barrocas;0.61
BA;2903300;Governador Lomanto Júnior;0.602
BA;2903409;Belmonte;0.598
BA;2903508;Belo Campo;0.575
BA;2903607;Biritinga;0.538
BA;2903706;Boa Nova;0.567
BA;2903805;Boa Vista do Tupim;0.551
BA;2903904;Bom Jesus da Lapa;0.633
BA;2903953;Bom Jesus da Serra;0.546
BA;2904001;Boninal;0.612
BA;2904050;Bonito;0.561
BA;2904100;Boquira;0.603
BA;2904209;Botuporã;0.575
BA;2904308;Brejões;0.597
BA;2904407;Brejolândia;0.592
BA;2904506;Brotas de Macaúbas;0.57
BA;2904605;Brumado;0.656
BA;2904704;Buerarema;0.613
BA;2904753;Buritirama;0.565
BA;2904803;Caatiba;0.561
BA;2904852;Cabaceiras do Paraguaçu;0.581
BA;2904902;Cachoeira;0.647
BA;2905008;Caculé;0.637
BA;2905107;Caém;0.546
BA;2905156;Caetanos;0.542
BA;2905206;Caetité;0.625
BA;2905305;Cafarnaum;0.584
BA;2905404;Cairu;0.627
BA;2905503;Caldeirão Grande;0.573
BA;2905602;Camacan;0.581
BA;2905701;Camaçari;0.694
BA;2905800;Camamu;0.565
BA;2905909;Campo Alegre de Lourdes;0.557
BA;2906006;Campo Formoso;0.586
BA;2906105;Canápolis;0.565
BA;2906204;Canarana;0.587
BA;2906303;Canavieiras;0.59
BA;2906402;Candeal;0.587
BA;2906501;Candeias;0.691
BA;2906600;Candiba;0.591
BA;2906709;Cândido Sales;0.601
BA;2906808;Cansanção;0.557
BA;2906824;Canudos;0.562
BA;2906857;Capela do Alto Alegre;0.599
BA;2906873;Capim Grosso;0.621
BA;2906899;Caraíbas;0.555
BA;2906907;Caravelas;0.616
BA;2907004;Cardeal da Silva;0.552
BA;2907103;Carinhanha;0.576
BA;2907202;Casa Nova;0.57
BA;2907301;Castro Alves;0.613
BA;2907400;Catolândia;0.582
BA;2907509;Catu;0.677
BA;2907558;Caturama;0.571
BA;2907608;Central;0.596
BA;2907707;Chorrochó;0.6
BA;2907806;Cícero Dantas;0.585
BA;2907905;Cipó;0.601
BA;2908002;Coaraci;0.613
BA;2908101;Cocos;0.596
BA;2908200;Conceição da Feira;0.634
BA;2908309;Conceição do Almeida;0.606
BA;2908408;Conceição do Coité;0.611
BA;2908507;Conceição do Jacuípe;0.663
BA;2908606;Conde;0.56
BA;2908705;Condeúba;0.582
BA;2908804;Contendas do Sincorá;0.577
BA;2908903;Coração de Maria;0.592
BA;2909000;Cordeiros;0.579
BA;2909109;Coribe;0.6
BA;2909208;Coronel João Sá;0.535
BA;2909307;Correntina;0.603
BA;2909406;Cotegipe;0.59
BA;2909505;Cravolândia;0.599
BA;2909604;Crisópolis;0.543
BA;2909703;Cristópolis;0.614
BA;2909802;Cruz das Almas;0.699
BA;2909901;Curaçá;0.581
BA;2910008;Dário Meira;0.54
BA;2910057;Dias d'Ávila;0.676
BA;2910107;Dom Basílio;0.591
BA;2910206;Dom Macedo Costa;0.632
BA;2910305;Elísio Medrado;0.623
BA;2910404;Encruzilhada;0.544
BA;2910503;Entre Rios;0.615
BA;2910602;Esplanada;0.589
BA;2910701;Euclides da Cunha;0.567
BA;2910727;Eunápolis;0.677
BA;2910750;Fátima;0.559
BA;2910776;Feira da Mata;0.588
BA;2910800;Feira de Santana;0.712
BA;2910859;Filadélfia;0.565
BA;2910909;Firmino Alves;0.578
BA;2911006;Floresta Azul;0.557
BA;2911105;Formosa do Rio Preto;0.618
BA;2911204;Gandu;0.632
BA;2911253;Gavião;0.599
BA;2911303;Gentio do Ouro;0.559
BA;2911402;Glória;0.593
BA;2911501;Gongogi;0.576
BA;2911600;Governador Mangabeira;0.643
BA;2911659;Guajeru;0.569
BA;2911709;Guanambi;0.673
BA;2911808;Guaratinga;0.558
BA;2911857;Heliópolis;0.563
