,municipio,grupo,Sigla,codigo,IDH,valor_pct,municipio_merge
0,Indiaroba,grupoProximidade,SE,2802809,0.58,12.74,Indiaroba (SE)
1,Cristinápolis,grupoProximidade,SE,2801702,0.553,8.3,Cristinápolis (SE)
2,Estância,grupoProximidade,SE,2802106,0.647,8.76,Estância (SE)
3,Umbaúba,grupoProximidade,SE,2807600,0.579,12.2,Umbaúba (SE)
4,Arauá,grupoProximidade,SE,2800407,0.595,14.11,Arauá (SE)
5,Tomar do Geru,grupoProximidade,SE,2807501,0.551,7.37,Tomar do Geru (SE)
6,Itabaianinha,grupoProximidade,SE,2803005,0.556,5.67,Itabaianinha (SE)
7,Santa Luzia do Itanhy,grupoProximidade,SE,2806305,0.545,16.97,Santa Luzia do Itanhy (SE)
8,Pedrinhas,grupoProximidade,SE,2805109,0.592,9.27,Pedrinhas (SE)
9,Boquim,grupoProximidade,SE,2800670,0.604,8.07,Boquim (SE)
10,Salgado,grupoProximidade,SE,2806206,0.609,7.44,Salgado (SE)
11,Lagarto,grupoProximidade,SE,2803500,0.625,6.26,Lagarto (SE)
12,Riachão do Dantas,grupoProximidade,SE,2805802,0.539,5.99,Riachão do Dantas (SE)
13,Simão Dias,grupoProximidade,SE,2807105,0.604,5.02,Simão Dias (SE)
14,Poço Verde,grupoProximidade,SE,2805505,0.561,3.25,Poço Verde (SE)
15,Tobias Barreto,grupoProximidade,SE,2807402,0.557,6.1,Tobias Barreto (SE)
16,Itapicuru,grupoProximidade,BA,2916500,0.486,5.37,Itapicuru (BA)
17,Itaberaba,grupoPropPretos,BA,2914703,0.62,16.41,Itaberaba (BA)
18,Passagem Franca do Piauí,grupoPropPretos,PI,2207751,0.561,16.56,Passagem Franca do Piauí (PI)
19,Andaraí,grupoPropPretos,BA,2901304,0.555,16.6,Andaraí (BA)
20,Santa Terezinha,grupoPropPretos,PE,2612802,0.593,16.63,Santa Terezinha (PE)
21,Inhambupe,grupoPropPretos,BA,2913705,0.565,16.74,Inhambupe (BA)
22,Boninal,grupoPropPretos,BA,2904001,0.612,16.8,Boninal (BA)
24,Serrinha,grupoPropPretos,BA,2930501,0.634,16.96,Serrinha (BA)
25,Antonina do Norte,grupoPropPretos,CE,2300804,0.599,16.96,Antonina do Norte (CE)
26,Santa Luzia do Itanhy,grupoPropPretos,SE,2806305,0.545,16.97,Santa Luzia do Itanhy (SE)
27,Itagibá,grupoPropPretos,BA,2915205,0.589,17.05,Itagibá (BA)
28,Buerarema,grupoPropPretos,BA,2904704,0.613,17.16,Buerarema (BA)
29,Riacho Frio,grupoPropPretos,PI,2208858,0.541,17.19,Riacho Frio (PI)
30,Piraí do Norte,grupoPropPretos,BA,2924678,0.533,17.44,Piraí do Norte (BA)
31,Rosário do Catete,grupoPropPretos,SE,2806107,0.631,17.48,Rosário do Catete (SE)
32,Nova Viçosa,grupoPropPretos,BA,2923001,0.654,17.5,Nova Viçosa (BA)
33,São Felipe,grupoPropPretos,BA,2929107,0.616,17.5,São Felipe (BA)
34,Santa Rosa de Lima,grupoPropPretos,SE,2806503,0.592,17.68,Santa Rosa de Lima (SE)
35,Campinas do Piauí,grupoIDH,PI,2202109,0.544,14.18,Campinas do Piauí (PI)
36,Lagoa Real,grupoIDH,BA,2918753,0.545,7.7,Lagoa Real (BA)
37,Luzilândia,grupoIDH,PI,2205805,0.545,6.06,Luzilândia (PI)
38,Boa Vista do Gurupi,grupoIDH,MA,2101970,0.545,6.1,Boa Vista do Gurupi (MA)
39,Batalha,grupoIDH,PI,2201507,0.545,3.89,Batalha (PI)
40,Nova Canaã,grupoIDH,BA,2922706,0.545,11.11,Nova Canaã (BA)
41,Mirador,grupoIDH,MA,2106706,0.545,5.32,Mirador (MA)
42,Terezinha,grupoIDH,PE,2615102,0.545,2.21,Terezinha (PE)
43,Santa Luzia do Itanhy,grupoIDH,SE,2806305,0.545,16.97,Santa Luzia do Itanhy (SE)
44,Dona Inês,grupoIDH,PB,2505709,0.545,4.73,Dona Inês (PB)
45,Monção,grupoIDH,MA,2106904,0.546,19.14,Monção (MA)
46,Santa Brígida,grupoIDH,BA,2927606,0.546,3.98,Santa Brígida (BA)
47,São José da Vitória,grupoIDH,BA,2929354,0.546,26.5,São José da Vitória (BA)
48,Lajedinho,grupoIDH,BA,2919009,0.546,13.0,Lajedinho (BA)
49,Caém,grupoIDH,BA,2905107,0.546,15.15,Caém (BA)
50,Cajueiro da Praia,grupoIDH,PI,2202083,0.546,5.7,Cajueiro da Praia (PI)
51,Benedito Leite,grupoIDH,MA,2101806,0.546,5.17,Benedito Leite (MA)
