Taxa de analfabetismo - pessoas com 15 anos ou mais (Atlas DH - Censo)
Sigla;Código;Município;1991;2000;2010;2022;
AL;2700102;Água Branca;53,11;40,73;30,92;22,89;
AL;2700201;Anadia;59,4;42,01;36,16;28,72;
AL;2700300;Arapiraca;42,04;30,42;22,45;15,26;
AL;2700409;Atalaia;64,49;43,51;33,57;24,48;
AL;2700508;Barra de Santo Antônio;53,8;42,71;27,94;21,29;
AL;2700607;Barra de São Miguel;55,2;36,17;23,71;14,55;
AL;2700706;Batalha;56,01;42,38;30,84;23,3;
AL;2700805;Belém;57,06;40,68;33,33;23,97;
AL;2700904;Belo Monte;57,7;48,32;38,11;27,05;
AL;2701001;Boca da Mata;51,97;36,49;27,32;22,92;
AL;2701100;Branquinha;75,17;54,64;41,58;32,9;
AL;2701209;Cacimbinhas;64,46;50,79;40,61;29,97;
AL;2701308;Cajueiro;61,6;46,72;33,86;27,44;
AL;2701357;Campestre;50,43;39,34;32,41;23,29;
AL;2701407;Campo Alegre;53,06;40,57;27,41;21,56;
AL;2701506;Campo Grande;67,22;53,8;39,27;32,58;
AL;2701605;Canapi;67;52,64;40,35;29,9;
AL;2701704;Capela;62,93;45,39;31,98;23,8;
AL;2701803;Carneiros;45,03;39,43;29,96;22,27;
AL;2701902;Chã Preta;60,32;43,38;35,51;27,06;
AL;2702009;Coité do Nóia;61,55;46,23;38,95;28,34;
AL;2702108;Colônia Leopoldina;58,15;41,88;34,59;25,88;
AL;2702207;Coqueiro Seco;44,37;35,7;28,23;18,54;
AL;2702306;Coruripe;50,95;35,63;23,9;18,23;
AL;2702355;Craíbas;70,09;50,91;39,67;28,91;
AL;2702405;Delmiro Gouveia;39,34;30,92;23,35;17,48;
AL;2702504;Dois Riachos;63,01;49,31;39,13;27,27;
AL;2702553;Estrela de Alagoas;65,54;49,06;40,47;34,2;
AL;2702603;Feira Grande;61,42;49,85;38,76;30,44;
AL;2702702;Feliz Deserto;53,56;42,86;33,5;24,37;
AL;2702801;Flexeiras;60,5;46,48;32,2;25,23;
AL;2702900;Girau do Ponciano;66,58;50,58;35,97;30,24;
AL;2703007;Ibateguara;62,14;49,47;38,75;29,78;
AL;2703106;Igaci;63,3;47,29;38,08;28,99;
AL;2703205;Igreja Nova;69,12;48,7;36,97;27,99;
AL;2703304;Inhapi;69,97;52,79;40,36;28,69;
AL;2703403;Jacaré dos Homens;53,87;42,54;28,12;23,77;
AL;2703502;Jacuípe;69,3;48,5;30,82;24,12;
AL;2703601;Japaratinga;51,51;39,01;29,67;19,94;
AL;2703700;Jaramataia;69,59;46,29;39,17;31,24;
AL;2703759;Jequiá da Praia;55,82;42,08;28,14;20,74;
AL;2703809;Joaquim Gomes;68,37;49,86;39,68;30,61;
AL;2703908;Jundiá;56,83;46,51;33,73;27,7;
AL;2704005;Junqueiro;55,31;41,34;32,26;25,1;
AL;2704104;Lagoa da Canoa;65,49;44,62;38,38;27,56;
AL;2704203;Limoeiro de Anadia;63,2;46,62;35,1;26,21;
AL;2704302;Maceió;22,17;16,87;11,86;8,42;
AL;2704401;Major Isidoro;60,82;48,67;35,91;27,55;
AL;2704500;Maragogi;54,87;40,14;29,35;18,88;
AL;2704609;Maravilha;59,76;44,89;30,08;27,87;
AL;2704708;Marechal Deodoro;49,54;33,99;21,9;13,47;
AL;2704807;Maribondo;52,93;38,29;29,69;22,6;
AL;2704906;Mar Vermelho;53,56;39;29,99;20,76;
AL;2705002;Mata Grande;62,86;50,01;38,79;31,08;
AL;2705101;Matriz de Camaragibe;55,06;42,42;31,47;23,34;
AL;2705200;Messias;50,62;38,72;29,9;21;
AL;2705309;Minador do Negrão;56,82;50,69;43,89;32,52;
AL;2705408;Monteirópolis;64,86;49,13;37,49;26,46;
AL;2705507;Murici;57,56;43,46;30,65;23,65;
AL;2705606;Novo Lino;63,8;48,35;36,14;26,67;
AL;2705705;Olho d'Água das Flores;46,72;39,2;29,22;20,05;
AL;2705804;Olho d'Água do Casado;58,55;48,27;35,08;24,76;
AL;2705903;Olho d'Água Grande;72,04;52,53;41,97;32,12;
AL;2706000;Olivença;58,17;46,53;36,66;27,32;
AL;2706109;Ouro Branco;50,46;37,24;30,53;23,45;
AL;2706208;Palestina;53,37;38,58;34,56;21,92;
AL;2706307;Palmeira dos Índios;39,93;32,31;24,41;18,83;
AL;2706406;Pão de Açúcar;51,06;41,26;30,72;24,12;
AL;2706422;Pariconha;55,62;43,99;31,96;22,24;
AL;2706448;Paripueira;52,02;33,12;24,19;15,52;
AL;2706505;Passo de Camaragibe;58,98;47,77;32,23;23,75;
AL;2706604;Paulo Jacinto;59,34;40,65;32;25,11;
AL;2706703;Penedo;40,68;30,17;22,83;17,95;
AL;2706802;Piaçabuçu;52,78;39,04;31,77;22,83;
AL;2706901;Pilar;50,32;37,07;24,48;17,49;
AL;2707008;Pindoba;56,44;50,29;35,29;23,36;
AL;2707107;Piranhas;42,57;38,81;30,49;20,76;
AL;2707206;Poço das Trincheiras;59,26;51,03;33,63;26,73;
AL;2707305;Porto Calvo;54,61;39,47;28,44;21,13;
AL;2707404;Porto de Pedras;64,6;51,8;32,26;22,08;
AL;2707503;Porto Real do Colégio;57,24;44,36;34,46;27,31;
AL;2707602;Quebrangulo;60,11;46,46;32,23;25,11;
AL;2707701;Rio Largo;36,77;26,66;18,28;13,14;
AL;2707800;Roteiro;67,35;49,53;38,03;25,03;
AL;2707909;Santa Luzia do Norte;35,64;29,83;23,13;14,7;
AL;2708006;Santana do Ipanema;45,81;38,73;28,94;20,97;
AL;2708105;Santana do Mundaú;65,95;50,16;38,72;27,83;
AL;2708204;São Brás;61,01;43,14;34,7;25,34;
AL;2708303;São José da Laje;56;43,07;31,13;25,42;
AL;2708402;São José da Tapera;69,57;50,14;37,04;26,99;
AL;2708501;São Luís do Quitunde;62,48;46,41;33,85;24,72;
AL;2708600;São Miguel dos Campos;45,52;30,53;21,28;15,88;
AL;2708709;São Miguel dos Milagres;49,37;38,45;28,59;18,01;
AL;2708808;São Sebastião;65,21;49,8;37,41;28,03;
AL;2708907;Satuba;37,21;24,42;18,53;9,58;
AL;2708956;Senador Rui Palmeira;52,97;49,84;36,65;25,58;
AL;2709004;Tanque d'Arca;58,34;48,52;38,52;29,74;
AL;2709103;Taquarana;61,77;47,48;37,95;25,9;
AL;2709152;Teotônio Vilela;54,52;40,57;28,87;21,59;
AL;2709202;Traipu;66,4;53,06;42,69;32,69;
AL;2709301;União dos Palmares;54,82;43,7;31,62;23,23;
AL;2709400;Viçosa;56,04;41,88;33,47;24,86;
BA;2900108;Abaíra;31,09;23,14;19,45;18,84;
BA;2900207;Abaré;46,41;31,77;26,85;19,94;
BA;2900306;Acajutiba;45,77;30,69;22,31;18,39;
BA;2900355;Adustina;65,37;45,5;35,53;27,92;
BA;2900405;Água Fria;50,4;40;27,26;20,02;
BA;2900504;Érico Cardoso;53,65;44,73;30,27;24,17;
BA;2900603;Aiquara;47,37;32,55;23,76;20,44;
BA;2900702;Alagoinhas;22,82;14,38;10,11;7,53;
BA;2900801;Alcobaça;49,75;30,34;23,59;16,63;
BA;2900900;Almadina;53,39;34,62;31,82;23,05;
BA;2901007;Amargosa;41,05;27,95;20,85;15,24;
BA;2901106;Amélia Rodrigues;31,4;17,33;13,22;9,73999999999999;
BA;2901155;América Dourada;39,67;31,12;27,53;17,49;
BA;2901205;Anagé;48,77;39,39;33,89;25,82;
BA;2901304;Andaraí;56,7;35,66;26,56;18,91;
BA;2901353;Andorinha;50,31;39,59;25,71;19,22;
BA;2901403;Angical;52,54;31,45;24,54;18,85;
BA;2901502;Anguera;40,7;25,88;22,7;14,78;
BA;2901601;Antas;51,37;30,48;28,33;18,31;
BA;2901700;Antônio Cardoso;52,85;34,33;29,07;20,6;
BA;2901809;Antônio Gonçalves;45,22;27,86;19,72;16,32;
BA;2901908;Aporá;52,61;38,22;27,81;21,53;
BA;2901957;Apuarema;54,15;38,07;31,03;23,88;
BA;2902005;Aracatu;52,35;40,11;29,35;22,53;
BA;2902054;Araças;53,86;31,78;23,15;16,97;
BA;2902104;Araci;62,55;44,32;34,37;26,84;
BA;2902203;Aramari;38,92;31,05;19,58;16,47;
BA;2902252;Arataca;51,28;39,5;31,58;24,46;
BA;2902302;Aratuípe;56,07;35,31;24,62;18,42;
BA;2902401;Aurelino Leal;50;37,04;26,72;20,64;
BA;2902500;Baianópolis;55,76;40,93;30,64;22,56;
BA;2902609;Baixa Grande;48,05;28,89;25,56;19,28;
BA;2902658;Banzaê;54,23;37,29;26,34;20,83;
BA;2902708;Barra;50,03;34,93;23,54;20,12;
BA;2902807;Barra da Estiva;39,23;30,86;18,03;13,73;
BA;2902906;Barra do Choça;59,36;35,68;27,71;22,29;
BA;2903003;Barra do Mendes;29,2;20,13;14,72;11,18;
BA;2903102;Barra do Rocha;67,01;38,85;26,79;26,22;
BA;2903201;Barreiras;28,66;15,5;10,33;7,51000000000001;
BA;2903235;Barro Alto;32,34;21,9;18,21;11,5;
BA;2903276;Barrocas;45,37;28,48;19,7;16,58;
BA;2903300;Governador Lomanto Júnior;42,77;29,37;26,18;19,53;
BA;2903409;Belmonte;46,6;30,6;24,76;17,64;
BA;2903508;Belo Campo;45,75;33,15;26,12;20,01;
BA;2903607;Biritinga;45,45;36,23;26,14;21,92;
BA;2903706;Boa Nova;61,35;43,01;31,7;27,13;
BA;2903805;Boa Vista do Tupim;52,83;35,91;30,3;24,01;
BA;2903904;Bom Jesus da Lapa;41,09;26,2;19,18;13,7;
BA;2903953;Bom Jesus da Serra;56,77;38,58;27,15;22,43;
BA;2904001;Boninal;43,95;30,08;22,02;14,67;
BA;2904050;Bonito;38,32;26,79;20,32;13,98;
BA;2904100;Boquira;43,54;32,91;25,81;20,55;
BA;2904209;Botuporã;57,68;33,75;26,32;22,76;
BA;2904308;Brejões;47,45;30,57;24,27;20,8;
BA;2904407;Brejolândia;45,89;31,97;26,31;20,48;
BA;2904506;Brotas de Macaúbas;33,01;25,51;21,22;11,76;
BA;2904605;Brumado;33,2;23,58;16,28;11,93;
BA;2904704;Buerarema;41,28;30,41;23,1;17,38;
BA;2904753;Buritirama;55,47;36,08;26,05;21,92;
BA;2904803;Caatiba;58,32;33,54;30;22,25;
BA;2904852;Cabaceiras do Paraguaçu;53,37;38,17;26,5;20,5;
BA;2904902;Cachoeira;32,78;21,9;16,01;13,19;
BA;2905008;Caculé;38,08;25,66;20,17;14,05;
BA;2905107;Caém;46,34;33,42;25,16;20,25;
BA;2905156;Caetanos;58,21;37,25;27,04;24,09;
BA;2905206;Caetité;46,59;31,51;20,42;15,45;
BA;2905305;Cafarnaum;38,72;28,95;21,82;16,42;
BA;2905404;Cairu;51,91;28,59;15,53;10,98;
BA;2905503;Caldeirão Grande;44,79;31,8;29,26;21,11;
BA;2905602;Camacan;41,14;29,04;22,82;16,12;
BA;2905701;Camaçari;20,05;12,35;7,78;5,40000000000001;
BA;2905800;Camamu;53,1;39,35;26,65;20,11;
BA;2905909;Campo Alegre de Lourdes;48,92;37,59;27,96;20,64;
BA;2906006;Campo Formoso;47,24;33,3;24,55;18,47;
BA;2906105;Canápolis;52,15;34,2;30,9;22,36;
BA;2906204;Canarana;31,46;23,92;19,01;13,1;
BA;2906303;Canavieiras;39,84;27,48;19,62;16,37;
BA;2906402;Candeal;41,13;32,06;25,73;18,92;
BA;2906501;Candeias;22,27;13,53;9,08;7,19;
BA;2906600;Candiba;49,69;33,29;25,63;19;
BA;2906709;Cândido Sales;48,69;33,34;26,08;20,04;
BA;2906808;Cansanção;49,73;39,77;28,93;20,19;
BA;2906824;Canudos;54,82;34,52;25,23;18,17;
BA;2906857;Capela do Alto Alegre;39,88;36,89;27,98;22,39;
BA;2906873;Capim Grosso;39,37;28,96;20,75;14,85;
BA;2906899;Caraíbas;56,87;38,67;32,86;27,09;
BA;2906907;Caravelas;50,17;31,63;24,95;17,31;
BA;2907004;Cardeal da Silva;53,19;31,92;23,01;16,73;
BA;2907103;Carinhanha;49,47;36,98;25,91;18,63;
BA;2907202;Casa Nova;47,37;32,27;24,86;15,93;
BA;2907301;Castro Alves;43,46;30,53;22,66;17,47;
BA;2907400;Catolândia;48,7;33,08;25,58;20,53;
BA;2907509;Catu;25,89;15,2;11,12;8,8;
BA;2907558;Caturama;54,47;33,53;27,88;24,11;
BA;2907608;Central;35,2;26,64;20,01;14,81;
BA;2907707;Chorrochó;45,27;32,23;28,38;17,99;
BA;2907806;Cícero Dantas;52,93;39,54;32,89;24,02;
BA;2907905;Cipó;43,23;33,21;23,83;18,22;
BA;2908002;Coaraci;42,45;29,94;23,55;18,18;
BA;2908101;Cocos;53,63;34,05;24,88;20,96;
BA;2908200;Conceição da Feira;36,39;20,96;16,03;11,39;
BA;2908309;Conceição do Almeida;44,32;30,3;20,44;14,87;
BA;2908408;Conceição do Coité;40,83;27,94;19,84;14,17;
BA;2908507;Conceição do Jacuípe;30,5;18,95;12,39;8,91;
BA;2908606;Conde;56,88;36,07;24,09;16,02;
BA;2908705;Condeúba;47,37;35,28;27,24;18,32;
BA;2908804;Contendas do Sincorá;55,65;32,22;26,71;17,13;
BA;2908903;Coração de Maria;47,8;29,64;21;15,7;
BA;2909000;Cordeiros;48,29;39,33;25,58;23,99;
BA;2909109;Coribe;53,08;32,91;28,37;20,82;
BA;2909208;Coronel João Sá;78,57;55,17;39,29;31,71;
BA;2909307;Correntina;48,59;32,66;23,46;18,8;
BA;2909406;Cotegipe;56,43;38,82;29,82;23,32;
BA;2909505;Cravolândia;56,69;34,98;27,78;19,16;
BA;2909604;Crisópolis;57,8;41,89;30,66;22,84;
BA;2909703;Cristópolis;53,32;38,09;30,2;22,21;
BA;2909802;Cruz das Almas;26,37;16,83;11,79;8,69;
BA;2909901;Curaçá;46,56;32,31;24,72;16,57;
BA;2910008;Dário Meira;62,46;44,44;34,07;25,8;
BA;2910057;Dias d'Ávila;20,38;12,16;8,21;6,53;
BA;2910107;Dom Basílio;48,94;30,05;23,72;18,63;
BA;2910206;Dom Macedo Costa;42,59;27,74;20,79;15,23;
BA;2910305;Elísio Medrado;43,23;29,61;25,43;17,01;
BA;2910404;Encruzilhada;64,83;43,03;32,75;25,89;
BA;2910503;Entre Rios;39,79;27,54;18,07;12,38;
BA;2910602;Esplanada;44,22;29,99;21,61;15,3;
