QT_MAT_BAS,QT_MAT_INF,QT_MAT_INF_CRE,QT_MAT_INF_PRE,QT_MAT_FUND,QT_MAT_MED,QT_MAT_PROF,QT_MAT_INF_INT,QT_MAT_INF_CRE_INT,QT_MAT_INF_PRE_INT,QT_MAT_FUND_INT,QT_MAT_MED_INT,Indice_infra,ano
4795.0,803.0,0.0,803.0,3172.0,284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43585866874434487,2010
4292.75,625.4375,140.75,484.6875,2723.5,554.375,46.125,41.6875,34.5625,7.125,3.9375,0.0,0.2697767033619358,2010
6411.125,716.0625,157.125,558.9375,4018.8125,895.75,129.375,135.25,110.8125,24.4375,9.0625,6.875,0.3309402057081952,2010
8928.375,992.25,162.5,829.75,5869.8125,1168.0625,163.25,92.0625,76.625,15.4375,40.625,23.9375,0.4042299263755328,2010
4494.0,599.0,0.0,599.0,3053.0,259.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3615570616261178,2011
4141.125,600.625,141.1875,459.4375,2632.4375,520.6875,12.25,34.125,28.375,5.75,119.75,4.1875,0.22469564075266513,2011
6336.125,701.25,197.125,504.125,3866.5,898.375,181.6875,141.75,116.8125,24.9375,15.9375,7.375,0.2897854226827032,2011
8626.3125,991.375,163.625,827.75,5617.125,1143.4375,115.125,95.0,76.125,18.875,170.375,0.4375,0.3378769505795831,2011
4285.0,603.0,52.0,551.0,2914.0,282.0,0.0,0.0,0.0,0.0,56.0,0.0,0.34609890430747825,2012
4019.625,582.375,143.0625,439.3125,2533.1875,531.0625,38.375,33.25,26.0625,7.1875,161.6875,4.875,0.24544790082434986,2012
5991.5,702.875,184.375,518.5,3639.0,897.75,208.5,140.0,118.0625,21.9375,420.75,4.6875,0.32999704295148746,2012
8416.0,994.25,196.9375,797.3125,5432.875,1136.3125,116.9375,115.3125,97.375,17.9375,288.0,0.75,0.36261575178367234,2012
5360.0,882.0,345.0,537.0,3106.0,300.0,0.0,0.0,0.0,0.0,2062.0,0.0,0.3433661619529518,2013
3852.1875,571.8125,143.0,428.8125,2427.1875,520.8125,16.25,43.0625,32.0,11.0625,186.875,1.9375,0.25472236193387254,2013
5818.5625,730.3125,191.125,539.1875,3505.0625,876.125,195.8125,141.0625,117.125,23.9375,416.4375,17.5625,0.3020687520175448,2013
8116.8125,1001.375,215.5,785.875,5211.3125,1143.875,90.3125,109.375,89.75,19.625,963.875,0.625,0.3867101217566452,2013
4857.0,931.0,428.0,503.0,3029.0,278.0,0.0,1.0,0.0,1.0,2240.0,0.0,0.34895510872152163,2014
3684.25,547.25,150.375,396.875,2315.5,506.125,13.0625,37.125,27.5625,9.5625,350.125,25.8125,0.2614750834070674,2014
5674.4375,729.0625,212.0625,517.0,3423.625,860.75,183.8125,212.0,129.4375,82.5625,1121.0,44.0,0.3364364971401849,2014
7911.5,978.5625,214.5625,764.0,5096.3125,1150.9375,73.625,102.75,83.0,19.75,1191.375,1.5,0.4043649627617332,2014
4689.0,961.0,459.0,502.0,2736.0,280.0,0.0,0.0,0.0,0.0,2048.0,28.0,0.34523753376949107,2015
3609.5625,563.6875,168.8125,394.875,2248.0,484.9375,23.75,43.0,32.0,11.0,585.5,19.0625,0.26995231121867447,2015
