,grupo,ano,media_remuneracao,numero_contratos,desv_pad_anual,remuneracao_ajustada,num_cont_ajustad
0,Grupo_1 - PropPretos,2012,897.7619560914163,5557,465.1638670088182,1606.9939014036352,347
1,Grupo_1 - PropPretos,2013,1183.7718015525325,13011,938.4763344733572,2000.5743446237798,813
2,Grupo_1 - PropPretos,2014,1229.2167691389345,13402,920.5336701013455,1966.7468306222954,838
3,Grupo_1 - PropPretos,2015,1396.1909950566098,12542,1125.1721056527717,2094.286492584915,784
4,Grupo_1 - PropPretos,2016,1520.547917100938,12473,1191.185084025773,2067.945167257276,780
5,Grupo_1 - PropPretos,2017,1644.972032303591,12754,1338.2235240530333,2105.5642013485967,797
6,Grupo_1 - PropPretos,2018,1711.2339747565811,13865,1399.3369757283074,2121.9301286981604,867
7,Grupo_1 - PropPretos,2019,1777.0490899661158,14461,1450.5676649691438,2114.6884170596777,904
8,Grupo_1 - PropPretos,2020,1834.0366778191774,13151,1560.4561280912646,2109.142179492054,822
9,Grupo_1 - PropPretos,2021,1914.7185160013196,15155,1474.9386563898674,1914.7185160013196,947
10,Grupo_2 - IDH,2012,938.7244194904124,7614,734.5997644252462,1680.3167108878383,476
11,Grupo_2 - IDH,2013,1135.0978742067937,10716,866.5546189082082,1918.3154074094812,670
12,Grupo_2 - IDH,2014,1207.487869075369,10296,870.3325878096294,1931.9805905205903,644
13,Grupo_2 - IDH,2015,1382.4753413196427,10518,905.1597193322607,2073.7130119794638,657
14,Grupo_2 - IDH,2016,1490.077909533074,10280,965.7647347838047,2026.505956964981,642
15,Grupo_2 - IDH,2017,1598.6549821619694,11212,978.3787421767993,2046.278377167321,701
16,Grupo_2 - IDH,2018,1699.6935851045143,11386,1069.2256295194327,2107.620045529598,712
17,Grupo_2 - IDH,2019,1766.4879820948972,11170,1764.6862049612212,2102.120698692928,698
18,Grupo_2 - IDH,2020,1872.4309623849538,9996,1235.303678007155,2153.2956067426967,625
19,Grupo_2 - IDH,2021,1925.710813615282,12721,1281.9383074163818,1925.710813615282,795
20,Grupo_3 - Proximidade,2012,1134.1340544536438,43964,1112.683548056771,2030.0999574720224,2748
21,Grupo_3 - Proximidade,2013,1264.0227344205596,49729,1220.188126797929,2136.1984211707454,3108
22,Grupo_3 - Proximidade,2014,1368.1206542516502,50745,1293.7532653980973,2188.9930468026405,3172
23,Grupo_3 - Proximidade,2015,1502.450389105822,50963,1449.404600304761,2253.675583658733,3185
24,Grupo_3 - Proximidade,2016,1641.3796137608522,46189,1546.9527676606892,2232.276274714759,2887
25,Grupo_3 - Proximidade,2017,1782.8152499895227,47722,1643.9314436912098,2282.0035199865893,2983
26,Grupo_3 - Proximidade,2018,1854.3621124424726,48238,1746.8901772716872,2299.409019428666,3015
27,Grupo_3 - Proximidade,2019,1945.5346757400769,46583,1877.5813091060859,2315.186264130691,2911
28,Grupo_3 - Proximidade,2020,2008.9309986802534,46221,1981.6982100372788,2310.270648482291,2889
29,Grupo_3 - Proximidade,2021,2125.3456356905554,52675,2045.9550819671128,2125.3456356905554,3292
30,Grupo_4 - Santa Luzia do Itanhy,2012,1619.033553223388,667,3039.233043415462,2898.070060269865,667
31,Grupo_4 - Santa Luzia do Itanhy,2013,1626.510521327014,844,1195.7052148966009,2748.8027810426534,844
32,Grupo_4 - Santa Luzia do Itanhy,2014,1622.6043933054395,717,999.2958740663663,2596.1670292887034,717
33,Grupo_4 - Santa Luzia do Itanhy,2015,1821.811995490417,887,1281.0449089252334,2732.7179932356257,887
34,Grupo_4 - Santa Luzia do Itanhy,2016,1694.115550802139,935,1140.9329259945625,2303.9971490909093,935
35,Grupo_4 - Santa Luzia do Itanhy,2017,2024.9678150289017,865,1317.4245809153429,2591.9588032369943,865
36,Grupo_4 - Santa Luzia do Itanhy,2018,2044.312901734104,865,1594.3566567242692,2534.9479981502886,865
37,Grupo_4 - Santa Luzia do Itanhy,2019,2102.079180327869,793,1643.0383375595222,2501.474224590164,793
38,Grupo_4 - Santa Luzia do Itanhy,2020,2248.4534743202416,662,1496.3073576638947,2585.7214954682777,662
39,Grupo_4 - Santa Luzia do Itanhy,2021,2431.296428571429,798,1753.5321617427355,2431.296428571429,798
40,Grupo_5 - Isolados,2012,959.1745694490268,3031,573.5137380246222,1716.922479313758,276
41,Grupo_5 - Isolados,2013,1186.1500720838794,4578,1298.4756980224122,2004.5936218217562,416
42,Grupo_5 - Isolados,2014,1227.8088552115134,4586,818.4985746759372,1964.4941683384216,417
43,Grupo_5 - Isolados,2015,1366.2659471871414,4355,945.3665116037383,2049.398920780712,396
44,Grupo_5 - Isolados,2016,1468.5955467474935,4289,1001.6272767714586,1997.2899435765912,390
45,Grupo_5 - Isolados,2017,1602.535477777778,4500,1033.8531204899473,2051.2454115555556,409
46,Grupo_5 - Isolados,2018,1737.04570695287,4286,1210.197578901574,2153.936676621559,390
47,Grupo_5 - Isolados,2019,1788.1607875185737,4711,1254.3145877550653,2127.9113371471026,428
48,Grupo_5 - Isolados,2020,1877.236601275135,4078,1365.9467890797673,2158.822091466405,371
49,Grupo_5 - Isolados,2021,1937.861140365312,6077,1227.2340176146631,1937.861140365312,552
