,grupo,ano,Faixa Etária,sexo,Vl Remun Média Nom,Vl Remun Média Nom_total,Proporção da Renda
0,Grupo_1 - PropPretos,2012,1 (18-24),Feminino,19408.72,4988863.19,1.0
1,Grupo_1 - PropPretos,2012,1 (18-24),Masculino,321421.77,4988863.19,1.0
2,Grupo_1 - PropPretos,2012,2 (25-29),Feminino,120886.13,4988863.19,1.0
3,Grupo_1 - PropPretos,2012,2 (25-29),Masculino,632826.69,4988863.19,1.0
4,Grupo_1 - PropPretos,2012,3 (29+),Feminino,1015385.8,4988863.19,1.0
5,Grupo_1 - PropPretos,2012,3 (29+),Masculino,2862809.08,4988863.19,1.0
6,Grupo_1 - PropPretos,2013,1 (18-24),Feminino,345345.19,15402054.91,5.763409045794739
7,Grupo_1 - PropPretos,2013,1 (18-24),Masculino,534794.59,15402054.91,0.5389328347278858
8,Grupo_1 - PropPretos,2013,2 (25-29),Feminino,890087.16,15402054.91,2.3849484082109638
9,Grupo_1 - PropPretos,2013,2 (25-29),Masculino,938295.8,15402054.91,0.480261653500583
10,Grupo_1 - PropPretos,2013,3 (29+),Feminino,7161302.79,15402054.91,2.284461683442878
11,Grupo_1 - PropPretos,2013,3 (29+),Masculino,5498868.88,15402054.91,0.6221626061378258
12,Grupo_1 - PropPretos,2014,1 (18-24),Feminino,377191.64,16473963.14,5.885300848876282
13,Grupo_1 - PropPretos,2014,1 (18-24),Masculino,633212.62,16473963.14,0.596592484333776
14,Grupo_1 - PropPretos,2014,2 (25-29),Feminino,849900.25,16473963.14,2.1290947399246978
15,Grupo_1 - PropPretos,2014,2 (25-29),Masculino,971503.85,16473963.14,0.46490395723365063
16,Grupo_1 - PropPretos,2014,3 (29+),Feminino,7676320.63,16473963.14,2.2894202785642297
17,Grupo_1 - PropPretos,2014,3 (29+),Masculino,5911964.88,16473963.14,0.625378525165631
18,Grupo_1 - PropPretos,2015,1 (18-24),Feminino,345751.94,17511027.46,5.075252995576106
19,Grupo_1 - PropPretos,2015,1 (18-24),Masculino,568029.83,17511027.46,0.5034841696953481
20,Grupo_1 - PropPretos,2015,2 (25-29),Feminino,839617.66,17511027.46,1.97876880679785
21,Grupo_1 - PropPretos,2015,2 (25-29),Masculino,942972.6,17511027.46,0.4245259586202694
22,Grupo_1 - PropPretos,2015,3 (29+),Feminino,8403437.75,17511027.46,2.3578483390140113
23,Grupo_1 - PropPretos,2015,3 (29+),Masculino,6368164.8,17511027.46,0.6337410998116992
24,Grupo_1 - PropPretos,2016,1 (18-24),Feminino,363551.48,18965794.17,4.927193108802774
25,Grupo_1 - PropPretos,2016,1 (18-24),Masculino,531441.77,18965794.17,0.4349215818972569
26,Grupo_1 - PropPretos,2016,2 (25-29),Feminino,758515.57,18965794.17,1.6505116226057213
27,Grupo_1 - PropPretos,2016,2 (25-29),Masculino,948462.93,18965794.17,0.3942449465951134
28,Grupo_1 - PropPretos,2016,3 (29+),Feminino,9601986.78,18965794.17,2.487485624314733
29,Grupo_1 - PropPretos,2016,3 (29+),Masculino,6727022.04,18965794.17,0.6181032484060202
30,Grupo_1 - PropPretos,2017,1 (18-24),Feminino,370380.2,20979973.3,4.537822774101723
31,Grupo_1 - PropPretos,2017,1 (18-24),Masculino,602504.04,20979973.3,0.4457397224175771
32,Grupo_1 - PropPretos,2017,2 (25-29),Feminino,757758.92,20979973.3,1.49056612175192
33,Grupo_1 - PropPretos,2017,2 (25-29),Masculino,977790.5,20979973.3,0.367415682168068
34,Grupo_1 - PropPretos,2017,3 (29+),Feminino,10385638.16,20979973.3,2.4321970937516384
35,Grupo_1 - PropPretos,2017,3 (29+),Masculino,7844097.78,20979973.3,0.6515492901211482
36,Grupo_1 - PropPretos,2018,1 (18-24),Feminino,376847.7,23726259.06,4.082642015245706
37,Grupo_1 - PropPretos,2018,1 (18-24),Masculino,747575.91,23726259.06,0.4890489560974167
38,Grupo_1 - PropPretos,2018,2 (25-29),Feminino,785200.14,23726259.06,1.3657657587294036
39,Grupo_1 - PropPretos,2018,2 (25-29),Masculino,1106136.97,23726259.06,0.3675330906031436
40,Grupo_1 - PropPretos,2018,3 (29+),Feminino,11628595.37,23726259.06,2.408066632025664
41,Grupo_1 - PropPretos,2018,3 (29+),Masculino,9038197.63,23726259.06,0.6638374875595292
42,Grupo_1 - PropPretos,2019,1 (18-24),Feminino,418374.79,25697906.89,4.1847783079605625
43,Grupo_1 - PropPretos,2019,1 (18-24),Masculino,769660.45,25697906.89,0.4648659377871678
44,Grupo_1 - PropPretos,2019,2 (25-29),Feminino,950146.26,25697906.89,1.5258710450307194
45,Grupo_1 - PropPretos,2019,2 (25-29),Masculino,1083461.05,25697906.89,0.33237806777043716
